Date,Open,High,Low,Close,Adj Close,Volume
2016-11-29,43.270000,43.610001,42.389999,42.490002,40.215546,5770500
2016-11-30,42.389999,42.660000,41.580002,42.200001,39.941067,6986800
2016-12-01,42.009998,43.450001,41.900002,42.419998,40.149284,5248200
2016-12-02,42.490002,43.040001,42.250000,42.480000,40.206078,3662500
2016-12-05,42.619999,43.009998,41.520000,41.910000,39.666588,7201800
2016-12-06,41.799999,42.680000,41.330002,42.400002,40.130360,6825900
2016-12-07,42.560001,43.230000,42.349998,43.180000,40.868607,4518900
2016-12-08,43.209999,43.790001,42.669998,43.070000,40.764496,4230600
2016-12-09,43.040001,43.080002,42.169998,42.439999,40.168213,3613200
2016-12-12,42.240002,42.299999,40.369999,40.459999,38.294209,8359100
2016-12-13,40.250000,40.919998,39.990002,40.709999,38.894192,5360100
2016-12-14,40.580002,40.919998,40.139999,40.160000,38.368725,4294600
2016-12-15,40.090000,40.660000,40.049999,40.139999,38.349617,6317000
2016-12-16,39.770000,39.779999,37.320000,37.470001,35.798714,12814900
2016-12-19,37.360001,37.880001,36.939999,37.000000,35.349674,7911100
2016-12-20,37.250000,38.160000,37.250000,37.950001,36.257301,6167100
2016-12-21,37.860001,37.970001,37.480000,37.509998,35.836926,2991200
2016-12-22,37.529999,37.669998,36.049999,36.169998,34.556690,6756100
2016-12-23,36.279999,36.930000,36.259998,36.480000,34.852867,4266600
2016-12-27,36.669998,37.230000,36.270000,36.529999,34.900639,4671300
2016-12-28,36.610001,36.930000,36.119999,36.279999,34.661785,3521600
2016-12-29,36.240002,36.599998,35.919998,36.290001,34.671341,3121300
2016-12-30,36.360001,36.500000,35.610001,35.810001,34.212753,3788300
2017-01-03,36.130001,36.200001,34.790001,35.230000,33.658619,9777600
2017-01-04,35.509998,36.400002,35.480000,35.840000,34.241413,9508700
2017-01-05,31.570000,31.850000,30.510000,30.860001,29.483540,29249100
2017-01-06,30.820000,31.520000,30.549999,30.820000,29.445322,11484800
2017-01-09,30.879999,30.990000,30.350000,30.459999,29.101381,9228200
2017-01-10,30.639999,30.680000,30.120001,30.299999,28.948517,10683700
2017-01-11,30.500000,30.530001,29.750000,29.950001,28.614128,8964000
2017-01-12,29.830000,30.190001,29.700001,29.980000,28.642790,6352400
2017-01-13,29.920000,30.000000,29.660000,29.879999,28.547249,5858000
2017-01-17,29.910000,30.600000,29.870001,29.900000,28.566357,8766000
2017-01-18,30.010000,30.010000,28.549999,29.440001,28.126877,13242200
2017-01-19,29.500000,29.830000,29.270000,29.450001,28.136431,7456100
2017-01-20,29.570000,29.850000,29.459999,29.700001,28.375280,7018800
2017-01-23,29.480000,29.920000,29.350000,29.629999,28.308401,4666000
2017-01-24,29.520000,30.030001,29.520000,29.980000,28.642790,5049700
2017-01-25,30.160000,30.400000,29.930000,30.150000,28.805208,6088300
2017-01-26,30.180000,30.340000,29.809999,29.920000,28.585464,4353900
2017-01-27,29.950001,29.969999,28.700001,29.110001,27.811594,9945400
2017-01-30,29.070000,29.530001,29.030001,29.520000,28.203308,5403600
2017-01-31,28.850000,29.580000,28.740000,29.540001,28.222418,9050700
2017-02-01,29.320000,29.570000,29.120001,29.209999,27.907133,5061200
2017-02-02,30.320000,31.059999,29.900000,30.719999,29.349783,16462800
2017-02-03,30.690001,34.369999,30.110001,32.689999,31.231915,47958400
2017-02-06,32.639999,32.790001,31.639999,31.790001,30.372061,14485800
2017-02-07,31.740000,32.150002,31.020000,31.200001,29.808376,10415500
2017-02-08,31.049999,31.980000,30.809999,31.980000,30.553583,6918200
2017-02-09,31.980000,32.650002,31.639999,32.369999,30.926188,7609600
2017-02-10,32.439999,32.880001,31.549999,31.990000,30.563137,7894900
2017-02-13,33.070000,33.230000,32.430000,32.580002,31.126823,14055000
2017-02-14,32.610001,32.990002,32.500000,32.680000,31.222363,7536800
2017-02-15,32.889999,33.020000,32.410000,32.740002,31.279688,7325000
2017-02-16,32.700001,32.869999,31.719999,31.820000,30.400719,8813700
2017-02-17,31.959999,32.310001,31.860001,32.299999,30.859308,8197200
2017-02-21,33.090000,33.490002,32.130001,32.290001,30.849758,16118500
2017-02-22,32.299999,32.840000,32.110001,32.360001,30.916634,9381600
2017-02-23,32.480000,33.090000,32.270000,32.439999,30.993063,8962200
2017-02-24,32.480000,33.560001,32.270000,33.169998,31.690504,8149200
2017-02-27,33.150002,33.730000,33.110001,33.570000,32.072666,6298900
2017-02-28,33.150002,33.240002,32.660000,33.220001,31.738277,10276400
2017-03-01,33.480000,33.669998,32.880001,32.950001,31.480318,6063300
